keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
"예체능,기타","180만 원 상금, 7000개의 선물이 쏟아지는 축제, BREAK 4💪",한국소비자포럼,D-3,"2,279",https://cf-cpi.campuspick.com/activity/1727070116158434_thumb.jpg,1,4
사진/영상/UCC,제1회 강릉 미디어아트 영상 공모전,강릉과학산업진흥원,D-8,542,https://cf-cpi.campuspick.com/activity/1724992625981725_thumb.jpg,1,4
"기획/아이디어,광고/마케팅,사진/영상/UCC",[사랑의열매] 대한민국 나눔 영상 공모전 (~10/7),사회복지공동모금회 사랑의열매,D-DAY,"1,684",https://cf-cpi.campuspick.com/activity/1724807398836132_thumb.jpg,1,4
디자인,"[에이엠컴퍼니] ""제 3회 친환경 패션디자인 공모전""",(주)에이엠컴퍼니,D-4,"1,204",https://cf-cpi.campuspick.com/activity/1724748523147540_thumb.jpg,1,4
"기획/아이디어,IT/소프트웨어/게임",2024 KORAD 공공데이터 활용 사업화 공모전,한국원자력환경공단,D-11,"3,281",https://cf-cpi.campuspick.com/activity/1724380936981197_thumb.jpg,1,4
기획/아이디어,2024 제1회 국방 AI 아이디어톤 공모,"대한민국 국방부, 정보통신기획평가원",D-DAY,"2,590",https://cf-cpi.campuspick.com/activity/1724043756485513_thumb.jpg,1,4
"기획/아이디어,사진/영상/UCC,디자인",제 3회 DREAM BIG ART AWARDS 미디어 아트 공모전,"DB손해보험, DB월드",D-11,"1,411",https://cf-cpi.campuspick.com/activity/1723189921075772_thumb.jpg,1,4
디자인,SDGs Design International Awards 2024,SDGs디자인국제공모전 2024 위원회,D-13,"1,987",https://cf-cpi.campuspick.com/activity/1725337218355972_thumb.jpg,1,4
사진/영상/UCC,2024 제2회 해양레저 사진 공모전,"해양수산부, 경기도",D-9,787,https://cf-cpi.campuspick.com/activity/1721961836834235_thumb.jpg,1,4
문학/수기/시나리오,제43회 대학(원)생 통일 논문 공모,통일부 국립통일교육원,D-4,"3,059",https://cf-cpi.campuspick.com/activity/1719455772822812_thumb.jpg,1,4
사진/영상/UCC,제13회 달성군 전국 사진공모전,(재)달성문화재단,D-4,"1,635",https://cf-cpi.campuspick.com/activity/1718261670811113_thumb.jpg,1,4
기타,제3회 부울경 대학생 스피치대회,사단법인 미래교육문화진흥원,D-13,"2,460",https://cf-cpi.campuspick.com/activity/1716958046422126_thumb.jpg,1,4
사진/영상/UCC,제7회 새마을UCC 공모전,청도군,D-4,987,https://cf-cpi.campuspick.com/activity/1714714224215947_thumb.jpg,1,4
IT/소프트웨어/게임,2024 POSTECH X OIBC CHALLENGE 제6회 BIG DA,에이치에너지,마감기한 없음,1,https://cf-cpi.campuspick.com/activity/1728009792603670_thumb.jpg,1,4
사진/영상/UCC,2024 금천구 숏폼 영상 공모전 「좋은도시 금천을 담다」,서울특별시 금천구청,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/172800912258830_thumb.jpg,1,4
사진/영상/UCC,제4회 숏츠멘터리공모전[플라스틱의 환경역습보고서],사단법인 지속가능월드네트워크,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727931040657498_thumb.jpg,1,4
사진/영상/UCC,2024 대한민국 대학생 광고대회 (KOSAC) 영상 콘텐츠 챌린지,문화체육관광부,마감기한 없음,285,https://cf-cpi.campuspick.com/activity/1727843071667874_thumb.jpg,1,4
기획/아이디어,2024 하반기 플랫폼 창업 아이디어 공모전,주식회사 다이노스밴드,마감기한 없음,360,https://cf-cpi.campuspick.com/activity/1727683306343160_thumb.jpg,1,4
"문학/수기/시나리오,기타",29th English Essay Contest,명지대학교 영자신문사,마감기한 없음,811,https://cf-cpi.campuspick.com/activity/1727665288626543_thumb.jpg,1,4
문학/수기/시나리오,[광주 신세계안과] 제39회 빛창공모전 겨울편 공모(~11/3),신세계안과,마감기한 없음,466,https://cf-cpi.campuspick.com/activity/1727661418047531_thumb.jpg,1,4
문학/수기/시나리오,제5회 포스텍 SF 어워드,POSTECH,마감기한 없음,437,https://cf-cpi.campuspick.com/activity/1727416231690756_thumb.jpg,1,4
"기획/아이디어,기타",아이디어 유니버시아드 대회,"이데일리,KG에듀원",마감기한 없음,594,https://cf-cpi.campuspick.com/activity/1727326193703299_thumb.jpg,1,4
"기획/아이디어,광고/마케팅,문학/수기/시나리오,IT/소프트웨어/게임","신한과 함께하는 AI 챌린지, AI IDEATHON 공모전","신한은행,신한타드,신한투자증권,신한라이프",마감기한 없음,929,https://cf-cpi.campuspick.com/activity/1727325135941784_thumb.jpg,1,4
"기획/아이디어,광고/마케팅,문학/수기/시나리오,기타",[한국외식산업연구원]2024 외식경영스타 아이디어 공모전,한국외식산업연구원,마감기한 없음,466,https://cf-cpi.campuspick.com/activity/1727324634707770_thumb.jpg,1,4
기타,2024년 대학(원)생 모의 무역위원회,"무역위원회,무역구제학회KSTR",마감기한 없음,555,https://cf-cpi.campuspick.com/activity/1727324182958395_thumb.jpg,1,4
사진/영상/UCC,RARE EARTH 대국민 사진 공모전,한국지질자원연구원,마감기한 없음,350,https://cf-cpi.campuspick.com/activity/1727429136475410_thumb.jpg,1,4
"IT/소프트웨어/게임,기타",🍀2024 빅콘테스트🍀 AI·데이터 분석 활용 경진대회,한국정보통신진흥원,마감기한 없음,"1,285",https://cf-cpi.campuspick.com/activity/1727360755353922_thumb.jpg,1,4
기획/아이디어,"신한과 함께하는 AI 챌린지, AI IDEATHON (~10/31)",신한은행,마감기한 없음,852,https://cf-cpi.campuspick.com/activity/172733193046832_thumb.jpg,1,4
문학/수기/시나리오,2024년 세종 여행기 공모전,세종특별자치시,마감기한 없음,328,https://cf-cpi.campuspick.com/activity/1727329921094991_thumb.jpg,1,4
사진/영상/UCC,2024년 남원 드론 영상콘텐츠 공모전( ~10/27),남원시청,마감기한 없음,44,https://cf-cpi.campuspick.com/activity/1727265546760739_thumb.jpg,1,4
"광고/마케팅,사진/영상/UCC",2024 경북 AI 숏폼 콘텐츠 크리에이터 어워드,"경상북도청, 경산시청",마감기한 없음,291,https://cf-cpi.campuspick.com/activity/1727071018753276_thumb.jpg,1,4
"기획/아이디어,문학/수기/시나리오,기타",2024 제10회 전국 대학생 통일토론경연대회,"국민대학교 한반도미래연구원, 민주평화통일자문회의 성북구협의회",마감기한 없음,382,https://cf-cpi.campuspick.com/activity/172706855931674_thumb.jpg,1,4
"기획/아이디어,디자인",2024년 광주 동구 도시경관 디자인 공모전,광주광역시 동구청,마감기한 없음,355,https://cf-cpi.campuspick.com/activity/1727065270103131_thumb.jpg,1,4
"기획/아이디어,광고/마케팅,사진/영상/UCC,디자인",[제29회 HIF 한신영상광고제 with 트립소다] 모집요강 공고,한신대학교 미디어영상광고홍보학부,마감기한 없음,290,https://cf-cpi.campuspick.com/activity/1727058733939184_thumb.jpg,1,4
"기획/아이디어,디자인",2024년 리디자인 모빌리티 아이디어 공모전,DSC 공유대학,마감기한 없음,524,https://cf-cpi.campuspick.com/activity/1727055953101102_thumb.jpg,1,4
기획/아이디어,2024년 하반기 속초시시설관리공단 ESG 혁신아이디어 공모전,속초시시설관리공단,마감기한 없음,478,https://cf-cpi.campuspick.com/activity/1726825211843213_thumb.jpg,1,4
"기획/아이디어,광고/마케팅,사진/영상/UCC,디자인",[기획재정부] 「경제배움e+」영상 콘텐츠 공모전,기획재정부,마감기한 없음,804,https://cf-cpi.campuspick.com/activity/1726811381188729_thumb.jpg,1,4
