keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
국내봉사,💛북인사 관광안내소에서 통역 봉사단을 모집합니다💛,북인사 관광안내소,마감기한 없음,746,https://cf-cpi.campuspick.com/activity/1727755035583318_thumb.jpg,1,2
강연/행사,<직무 인사이드 아웃>(2차) 현직자 특강 참여자 모집,서울청년센터 광진,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1725869975187351_thumb.jpg,1,2
국내봉사,금호복지관 재능나눔 강사모집,옥수종합사회복지관,마감기한 없음,734,https://cf-cpi.campuspick.com/activity/1724208806938260_thumb.jpg,1,2
국내봉사,2024년 「다문화가족 자녀 멘토링사업」 대학생 멘토 봉사자 모집 4차,인천서구가족센터,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1723784667193692_thumb.jpg,1,2
서포터즈,대학생 서포터즈 BEYOND BUSAN 추가모집,부산광역시,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1723789160349275_thumb.jpg,1,2
"국내봉사,기타",수질 환경 보호 비대면 봉사활동 '우리 하천 지킴이',사단법인 환경실천연합회,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1720665097440530_thumb.jpg,1,2
국내봉사,[동작청소년아지트] 2024. 정기 자원봉사자 모집,동작청소년문화의집,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1719901796487482_thumb.jpg,1,2
국내봉사,[강남노인종합복지관] 강남메타버스체험관 '디지털 서포터즈' 4명 모집,강남노인종합복지관,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1719445164465238_thumb.jpg,1,2
"국내봉사,서포터즈",youth 숏포터즈 모집,시립금천청소년센터,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1718344565738335_thumb.jpg,1,2
국내봉사,'2024년 꿈트는 1080토요학교' 1:1멘토링 봉사자 모집,수원제일평생학교,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/171264489325496_thumb.jpg,1,2
강연/행사,[인천 e스포츠 아카데미] 📢 e스포츠 밋업 3회차 - 글로벌 e스포츠,인천테크노파크,마감기한 없음,36,https://cf-cpi.campuspick.com/activity/17278433576982_thumb.jpg,1,2
"국내봉사,서포터즈",[에이드런] 미술교육봉사 교육서포터즈 모집,주식회사 에이드런,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727711368695304_thumb.jpg,1,2
